estado,etapa,horas_media,leads_processados_na_etapa
Estado A,geracao_leads,0.0,2000.0
Estado A,qualificacao_sdr,942.522,2000.0
Estado A,descoberta_closer,580.62,580.6
Estado A,proposta_manual,1217.245,348.2
Estado A,negociacao,650.881,348.2
Estado A,fechamento,56.71,170.1
Estado A,pos_venda,37.505,74.8
Estado B,geracao_leads,0.0,2000.0
Estado B,qualificacao_sdr,942.522,2000.0
Estado B,descoberta_closer,580.62,580.6
Estado B,proposta_ia,2.902,348.2
Estado B,negociacao,650.881,348.2
Estado B,fechamento,56.71,170.1
Estado B,pos_venda,37.505,74.8
Estado C,geracao_leads,0.0,2000.0
Estado C,qualificacao_ia,6.667,2000.0
Estado C,match_closer_ia,0.972,583.0
Estado C,descoberta_closer,583.0,583.0
Estado C,proposta_ia,2.917,350.0
Estado C,negociacao,658.195,350.0
Estado C,fechamento,62.263,186.8
Estado C,pos_venda,44.432,89.0
Estado D,geracao_leads,0.0,2000.0
Estado D,qualificacao_ia,6.667,2000.0
Estado D,descoberta_closer,583.0,583.0
Estado D,proposta_manual,1226.04,350.0
Estado D,negociacao,658.195,350.0
Estado D,fechamento,62.263,186.8
Estado D,pos_venda,44.432,89.0
