estado,etapa,horas_media,leads_processados_na_etapa
Estado A,geracao_leads,0.0,2000.0
Estado A,qualificacao_sdr,942.522,2000.0
Estado A,descoberta_closer,599.16,599.2
Estado A,proposta_manual,1257.06,359.5
Estado A,negociacao,673.687,359.5
Estado A,fechamento,59.571,178.7
Estado A,pos_venda,39.887,79.5
Estado B,geracao_leads,0.0,2000.0
Estado B,qualificacao_sdr,942.522,2000.0
Estado B,descoberta_closer,599.16,599.2
Estado B,proposta_ia,2.996,359.5
Estado B,negociacao,673.687,359.5
Estado B,fechamento,59.571,178.7
Estado B,pos_venda,39.887,79.5
Estado C,geracao_leads,0.0,2000.0
Estado C,qualificacao_ia,6.667,2000.0
Estado C,match_closer_ia,1.0,600.0
Estado C,descoberta_closer,600.0,600.0
Estado C,proposta_ia,2.997,359.6
Estado C,negociacao,676.616,359.6
Estado C,fechamento,63.949,191.5
Estado C,pos_venda,45.713,91.5
Estado D,geracao_leads,0.0,2000.0
Estado D,qualificacao_ia,6.667,2000.0
Estado D,descoberta_closer,600.0,600.0
Estado D,proposta_manual,1260.225,359.6
Estado D,negociacao,676.616,359.6
Estado D,fechamento,63.949,191.5
Estado D,pos_venda,45.713,91.5
